---------------/api/resource---------------
 Response Time = 313 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 53 ms | ResponseCode : 200
 Response Time = 53 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 53 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 53 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 54 ms | ResponseCode : 200
 Response Time = 51 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 51 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 53 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 54 ms | ResponseCode : 200
 Response Time = 53 ms | ResponseCode : 200
 Response Time = 53 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 53 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 53 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 53 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 54 ms | ResponseCode : 200
 Response Time = 58 ms | ResponseCode : 200
 Response Time = 84 ms | ResponseCode : 200
 Response Time = 58 ms | ResponseCode : 200
 Response Time = 65 ms | ResponseCode : 200
 Response Time = 63 ms | ResponseCode : 200
 Response Time = 59 ms | ResponseCode : 200
 Response Time = 53 ms | ResponseCode : 200
 Response Time = 54 ms | ResponseCode : 200
 Response Time = 53 ms | ResponseCode : 200
 Response Time = 53 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 53 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 58 ms | ResponseCode : 200
 Response Time = 61 ms | ResponseCode : 200
 Response Time = 56 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 53 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 53 ms | ResponseCode : 200
 Response Time = 53 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 53 ms | ResponseCode : 200
 Response Time = 53 ms | ResponseCode : 200
 Response Time = 53 ms | ResponseCode : 200
 Response Time = 53 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 53 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 53 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
 Response Time = 52 ms | ResponseCode : 200
