---------------/api/person/?id---------------
Response Time = 289 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 60 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 59 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 60 ms | ResponseCode: 200
Response Time = 75 ms | ResponseCode: 200
Response Time = 65 ms | ResponseCode: 200
Response Time = 65 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 64 ms | ResponseCode: 200
Response Time = 75 ms | ResponseCode: 200
Response Time = 62 ms | ResponseCode: 200
Response Time = 66 ms | ResponseCode: 200
Response Time = 74 ms | ResponseCode: 200
Response Time = 59 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 66 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 65 ms | ResponseCode: 200
Response Time = 59 ms | ResponseCode: 200
Response Time = 66 ms | ResponseCode: 200
Response Time = 74 ms | ResponseCode: 200
Response Time = 71 ms | ResponseCode: 200
Response Time = 63 ms | ResponseCode: 200
Response Time = 65 ms | ResponseCode: 200
Response Time = 59 ms | ResponseCode: 200
Response Time = 62 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 54 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 54 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
---------------/api/person---------------
Response Time = 239 ms | ResponseCode: 200
Response Time = 218 ms | ResponseCode: 200
Response Time = 408 ms | ResponseCode: 200
Response Time = 145 ms | ResponseCode: 200
Response Time = 374 ms | ResponseCode: 200
Response Time = 211 ms | ResponseCode: 200
Response Time = 446 ms | ResponseCode: 200
Response Time = 313 ms | ResponseCode: 200
Response Time = 141 ms | ResponseCode: 200
Response Time = 198 ms | ResponseCode: 200
Response Time = 207 ms | ResponseCode: 200
Response Time = 195 ms | ResponseCode: 200
Response Time = 195 ms | ResponseCode: 200
Response Time = 231 ms | ResponseCode: 200
Response Time = 265 ms | ResponseCode: 200
Response Time = 244 ms | ResponseCode: 200
Response Time = 228 ms | ResponseCode: 200
Response Time = 212 ms | ResponseCode: 200
Response Time = 204 ms | ResponseCode: 200
Response Time = 201 ms | ResponseCode: 200
Response Time = 214 ms | ResponseCode: 200
Response Time = 182 ms | ResponseCode: 200
Response Time = 190 ms | ResponseCode: 200
Response Time = 229 ms | ResponseCode: 200
Response Time = 214 ms | ResponseCode: 200
Response Time = 203 ms | ResponseCode: 200
Response Time = 203 ms | ResponseCode: 200
Response Time = 207 ms | ResponseCode: 200
Response Time = 205 ms | ResponseCode: 200
Response Time = 194 ms | ResponseCode: 200
Response Time = 215 ms | ResponseCode: 200
Response Time = 227 ms | ResponseCode: 200
Response Time = 205 ms | ResponseCode: 200
Response Time = 203 ms | ResponseCode: 200
Response Time = 215 ms | ResponseCode: 200
Response Time = 205 ms | ResponseCode: 200
Response Time = 198 ms | ResponseCode: 200
Response Time = 210 ms | ResponseCode: 200
Response Time = 206 ms | ResponseCode: 200
Response Time = 224 ms | ResponseCode: 200
Response Time = 178 ms | ResponseCode: 200
Response Time = 210 ms | ResponseCode: 200
Response Time = 204 ms | ResponseCode: 200
Response Time = 204 ms | ResponseCode: 200
Response Time = 204 ms | ResponseCode: 200
Response Time = 202 ms | ResponseCode: 200
Response Time = 216 ms | ResponseCode: 200
Response Time = 224 ms | ResponseCode: 200
Response Time = 178 ms | ResponseCode: 200
Response Time = 216 ms | ResponseCode: 200
Response Time = 198 ms | ResponseCode: 200
Response Time = 203 ms | ResponseCode: 200
Response Time = 202 ms | ResponseCode: 200
Response Time = 208 ms | ResponseCode: 200
Response Time = 204 ms | ResponseCode: 200
Response Time = 203 ms | ResponseCode: 200
Response Time = 210 ms | ResponseCode: 200
Response Time = 190 ms | ResponseCode: 200
Response Time = 190 ms | ResponseCode: 200
Response Time = 209 ms | ResponseCode: 200
Response Time = 206 ms | ResponseCode: 200
Response Time = 226 ms | ResponseCode: 200
Response Time = 211 ms | ResponseCode: 200
Response Time = 230 ms | ResponseCode: 200
Response Time = 149 ms | ResponseCode: 200
Response Time = 187 ms | ResponseCode: 200
Response Time = 194 ms | ResponseCode: 200
Response Time = 221 ms | ResponseCode: 200
Response Time = 229 ms | ResponseCode: 200
Response Time = 212 ms | ResponseCode: 200
Response Time = 203 ms | ResponseCode: 200
Response Time = 209 ms | ResponseCode: 200
Response Time = 209 ms | ResponseCode: 200
Response Time = 212 ms | ResponseCode: 200
Response Time = 128 ms | ResponseCode: 200
Response Time = 197 ms | ResponseCode: 200
Response Time = 206 ms | ResponseCode: 200
Response Time = 193 ms | ResponseCode: 200
Response Time = 180 ms | ResponseCode: 200
Response Time = 205 ms | ResponseCode: 200
Response Time = 195 ms | ResponseCode: 200
Response Time = 216 ms | ResponseCode: 200
Response Time = 206 ms | ResponseCode: 200
Response Time = 211 ms | ResponseCode: 200
Response Time = 205 ms | ResponseCode: 200
Response Time = 206 ms | ResponseCode: 200
Response Time = 204 ms | ResponseCode: 200
Response Time = 198 ms | ResponseCode: 200
Response Time = 214 ms | ResponseCode: 200
Response Time = 120 ms | ResponseCode: 200
Response Time = 208 ms | ResponseCode: 200
Response Time = 207 ms | ResponseCode: 200
Response Time = 198 ms | ResponseCode: 200
Response Time = 233 ms | ResponseCode: 200
Response Time = 195 ms | ResponseCode: 200
Response Time = 200 ms | ResponseCode: 200
Response Time = 205 ms | ResponseCode: 200
Response Time = 206 ms | ResponseCode: 200
Response Time = 213 ms | ResponseCode: 200
Response Time = 205 ms | ResponseCode: 200
Response Time = 204 ms | ResponseCode: 200
---------------/api/persons/{pid}/projects/issues---------------
Response Time = 60 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 61 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 59 ms | ResponseCode: 200
Response Time = 64 ms | ResponseCode: 200
Response Time = 61 ms | ResponseCode: 200
Response Time = 73 ms | ResponseCode: 200
Response Time = 62 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 59 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 64 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 64 ms | ResponseCode: 200
Response Time = 75 ms | ResponseCode: 200
Response Time = 65 ms | ResponseCode: 200
Response Time = 85 ms | ResponseCode: 200
Response Time = 65 ms | ResponseCode: 200
Response Time = 66 ms | ResponseCode: 200
Response Time = 65 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 59 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
---------------/api/persons/{pid}/projects/{prid}/issues---------------
Response Time = 61 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 66 ms | ResponseCode: 200
Response Time = 65 ms | ResponseCode: 200
Response Time = 99 ms | ResponseCode: 200
Response Time = 84 ms | ResponseCode: 200
Response Time = 65 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 61 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 59 ms | ResponseCode: 200
Response Time = 59 ms | ResponseCode: 200
Response Time = 59 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 61 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 59 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 59 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 77 ms | ResponseCode: 200
Response Time = 70 ms | ResponseCode: 200
Response Time = 59 ms | ResponseCode: 200
Response Time = 67 ms | ResponseCode: 200
Response Time = 72 ms | ResponseCode: 200
Response Time = 93 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 83 ms | ResponseCode: 200
Response Time = 67 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 59 ms | ResponseCode: 200
Response Time = 59 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 60 ms | ResponseCode: 200
Response Time = 68 ms | ResponseCode: 200
Response Time = 75 ms | ResponseCode: 200
Response Time = 79 ms | ResponseCode: 200
Response Time = 72 ms | ResponseCode: 200
Response Time = 62 ms | ResponseCode: 200
Response Time = 67 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 58 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 57 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 55 ms | ResponseCode: 200
Response Time = 56 ms | ResponseCode: 200
Response Time = 74 ms | ResponseCode: 200
Response Time = 67 ms | ResponseCode: 200
Response Time = 100 ms | ResponseCode: 200
Response Time = 73 ms | ResponseCode: 200
